Using device: cpu
| epoch   3 |  2600/ 2826 batches | lr 20.00 | ms/batch 300.63 | loss  4.42 | ppl    83.11
| epoch   3 |  2700/ 2826 batches | lr 20.00 | ms/batch 257.89 | loss  4.42 | ppl    83.39
| epoch   3 |  2800/ 2826 batches | lr 20.00 | ms/batch 217.81 | loss  4.42 | ppl    82.73
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 716.53s | valid loss  4.26 | valid ppl    70.56
-----------------------------------------------------------------------------------------
| epoch   4 |   100/ 2826 batches | lr 20.00 | ms/batch 234.96 | loss  4.45 | ppl    85.67
| epoch   4 |   200/ 2826 batches | lr 20.00 | ms/batch 230.80 | loss  4.39 | ppl    80.81
| epoch   4 |   300/ 2826 batches | lr 20.00 | ms/batch 245.71 | loss  4.35 | ppl    77.80
| epoch   4 |   400/ 2826 batches | lr 20.00 | ms/batch 285.61 | loss  4.41 | ppl    82.49
| epoch   4 |   500/ 2826 batches | lr 20.00 | ms/batch 234.45 | loss  4.38 | ppl    79.82
| epoch   4 |   600/ 2826 batches | lr 20.00 | ms/batch 235.88 | loss  4.38 | ppl    79.75
| epoch   4 |   700/ 2826 batches | lr 20.00 | ms/batch 236.22 | loss  4.33 | ppl    75.77
| epoch   4 |   800/ 2826 batches | lr 20.00 | ms/batch 213.45 | loss  4.37 | ppl    79.38
| epoch   4 |   900/ 2826 batches | lr 20.00 | ms/batch 200.92 | loss  4.37 | ppl    78.92
| epoch   4 |  1000/ 2826 batches | lr 20.00 | ms/batch 212.24 | loss  4.40 | ppl    81.64
| epoch   4 |  1100/ 2826 batches | lr 20.00 | ms/batch 209.01 | loss  4.38 | ppl    79.68
| epoch   4 |  1200/ 2826 batches | lr 20.00 | ms/batch 210.46 | loss  4.39 | ppl    80.59
| epoch   4 |  1300/ 2826 batches | lr 20.00 | ms/batch 214.71 | loss  4.35 | ppl    77.41
| epoch   4 |  1400/ 2826 batches | lr 20.00 | ms/batch 211.31 | loss  4.36 | ppl    78.13
| epoch   4 |  1500/ 2826 batches | lr 20.00 | ms/batch 214.41 | loss  4.37 | ppl    79.04
| epoch   4 |  1600/ 2826 batches | lr 20.00 | ms/batch 212.73 | loss  4.33 | ppl    76.24
| epoch   4 |  1700/ 2826 batches | lr 20.00 | ms/batch 204.11 | loss  4.36 | ppl    77.89
| epoch   4 |  1800/ 2826 batches | lr 20.00 | ms/batch 213.26 | loss  4.40 | ppl    81.57
| epoch   4 |  1900/ 2826 batches | lr 20.00 | ms/batch 212.08 | loss  4.35 | ppl    77.56
| epoch   4 |  2000/ 2826 batches | lr 20.00 | ms/batch 204.77 | loss  4.36 | ppl    78.50
| epoch   4 |  2100/ 2826 batches | lr 20.00 | ms/batch 216.61 | loss  4.36 | ppl    78.31
| epoch   4 |  2200/ 2826 batches | lr 20.00 | ms/batch 211.71 | loss  4.33 | ppl    75.87
| epoch   4 |  2300/ 2826 batches | lr 20.00 | ms/batch 186.85 | loss  4.39 | ppl    80.56
| epoch   4 |  2400/ 2826 batches | lr 20.00 | ms/batch 201.61 | loss  4.38 | ppl    79.94
| epoch   4 |  2500/ 2826 batches | lr 20.00 | ms/batch 254.61 | loss  4.36 | ppl    78.24
| epoch   4 |  2600/ 2826 batches | lr 20.00 | ms/batch 255.44 | loss  4.38 | ppl    79.52
| epoch   4 |  2700/ 2826 batches | lr 20.00 | ms/batch 255.07 | loss  4.39 | ppl    80.67
| epoch   4 |  2800/ 2826 batches | lr 20.00 | ms/batch 257.72 | loss  4.39 | ppl    80.58
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 651.96s | valid loss  4.22 | valid ppl    67.94
-----------------------------------------------------------------------------------------
| epoch   5 |   100/ 2826 batches | lr 20.00 | ms/batch 251.40 | loss  4.41 | ppl    82.57
| epoch   5 |   200/ 2826 batches | lr 20.00 | ms/batch 243.22 | loss  4.36 | ppl    77.89
| epoch   5 |   300/ 2826 batches | lr 20.00 | ms/batch 193.10 | loss  4.31 | ppl    74.64
| epoch   5 |   400/ 2826 batches | lr 20.00 | ms/batch 213.38 | loss  4.38 | ppl    79.87
| epoch   5 |   500/ 2826 batches | lr 20.00 | ms/batch 205.55 | loss  4.36 | ppl    77.97
| epoch   5 |   600/ 2826 batches | lr 20.00 | ms/batch 1713.02 | loss  4.35 | ppl    77.39
| epoch   5 |   700/ 2826 batches | lr 20.00 | ms/batch 4209.48 | loss  4.30 | ppl    73.42
| epoch   5 |   800/ 2826 batches | lr 20.00 | ms/batch 248.80 | loss  4.34 | ppl    76.62
| epoch   5 |   900/ 2826 batches | lr 20.00 | ms/batch 656.86 | loss  4.34 | ppl    76.54
| epoch   5 |  1000/ 2826 batches | lr 20.00 | ms/batch 478.94 | loss  4.37 | ppl    79.37
| epoch   5 |  1100/ 2826 batches | lr 20.00 | ms/batch 3504.12 | loss  4.35 | ppl    77.45
| epoch   5 |  1200/ 2826 batches | lr 20.00 | ms/batch 7140.03 | loss  4.36 | ppl    77.92
| epoch   5 |  1300/ 2826 batches | lr 20.00 | ms/batch 1969.62 | loss  4.32 | ppl    74.92
| epoch   5 |  1400/ 2826 batches | lr 20.00 | ms/batch 379.99 | loss  4.34 | ppl    76.76
| epoch   5 |  1500/ 2826 batches | lr 20.00 | ms/batch 399.52 | loss  4.35 | ppl    77.49
| epoch   5 |  1600/ 2826 batches | lr 20.00 | ms/batch 1608.60 | loss  4.30 | ppl    73.90
| epoch   5 |  1700/ 2826 batches | lr 20.00 | ms/batch 10979.45 | loss  4.32 | ppl    75.53
| epoch   5 |  1800/ 2826 batches | lr 20.00 | ms/batch 238.08 | loss  4.37 | ppl    79.21
| epoch   5 |  1900/ 2826 batches | lr 20.00 | ms/batch 2711.18 | loss  4.33 | ppl    75.69
| epoch   5 |  2000/ 2826 batches | lr 20.00 | ms/batch 1055.25 | loss  4.33 | ppl    76.31
| epoch   5 |  2100/ 2826 batches | lr 20.00 | ms/batch 297.22 | loss  4.33 | ppl    76.19
| epoch   5 |  2200/ 2826 batches | lr 20.00 | ms/batch 223.18 | loss  4.30 | ppl    73.87
| epoch   5 |  2300/ 2826 batches | lr 20.00 | ms/batch 235.52 | loss  4.36 | ppl    78.33
| epoch   5 |  2400/ 2826 batches | lr 20.00 | ms/batch 222.50 | loss  4.35 | ppl    77.44
| epoch   5 |  2500/ 2826 batches | lr 20.00 | ms/batch 246.87 | loss  4.33 | ppl    76.32
| epoch   5 |  2600/ 2826 batches | lr 20.00 | ms/batch 231.85 | loss  4.34 | ppl    76.95
| epoch   5 |  2700/ 2826 batches | lr 20.00 | ms/batch 222.24 | loss  4.36 | ppl    77.90
| epoch   5 |  2800/ 2826 batches | lr 20.00 | ms/batch 280.18 | loss  4.35 | ppl    77.83
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 4054.89s | valid loss  4.19 | valid ppl    65.83
-----------------------------------------------------------------------------------------
| epoch   6 |   100/ 2826 batches | lr 20.00 | ms/batch 209.94 | loss  4.38 | ppl    79.99
| epoch   6 |   200/ 2826 batches | lr 20.00 | ms/batch 199.55 | loss  4.33 | ppl    76.06
| epoch   6 |   300/ 2826 batches | lr 20.00 | ms/batch 210.77 | loss  4.29 | ppl    72.85
| epoch   6 |   400/ 2826 batches | lr 20.00 | ms/batch 229.03 | loss  4.36 | ppl    77.95
| epoch   6 |   500/ 2826 batches | lr 20.00 | ms/batch 218.02 | loss  4.33 | ppl    75.73
| epoch   6 |   600/ 2826 batches | lr 20.00 | ms/batch 200.39 | loss  4.32 | ppl    75.29
| epoch   6 |   700/ 2826 batches | lr 20.00 | ms/batch 234.65 | loss  4.27 | ppl    71.56
| epoch   6 |   800/ 2826 batches | lr 20.00 | ms/batch 236.31 | loss  4.32 | ppl    75.10
| epoch   6 |   900/ 2826 batches | lr 20.00 | ms/batch 262.86 | loss  4.31 | ppl    74.56
| epoch   6 |  1000/ 2826 batches | lr 20.00 | ms/batch 231.87 | loss  4.35 | ppl    77.58
| epoch   6 |  1100/ 2826 batches | lr 20.00 | ms/batch 174.71 | loss  4.32 | ppl    75.29
| epoch   6 |  1200/ 2826 batches | lr 20.00 | ms/batch 251.78 | loss  4.32 | ppl    75.54
| epoch   6 |  1300/ 2826 batches | lr 20.00 | ms/batch 209.83 | loss  4.30 | ppl    73.42
| epoch   6 |  1400/ 2826 batches | lr 20.00 | ms/batch 230.95 | loss  4.32 | ppl    75.01
| epoch   6 |  1500/ 2826 batches | lr 20.00 | ms/batch 221.83 | loss  4.32 | ppl    75.49
| epoch   6 |  1600/ 2826 batches | lr 20.00 | ms/batch 231.33 | loss  4.29 | ppl    72.83
| epoch   6 |  1700/ 2826 batches | lr 20.00 | ms/batch 245.82 | loss  4.31 | ppl    74.42
| epoch   6 |  1800/ 2826 batches | lr 20.00 | ms/batch 257.11 | loss  4.36 | ppl    78.18
| epoch   6 |  1900/ 2826 batches | lr 20.00 | ms/batch 251.66 | loss  4.30 | ppl    73.89
| epoch   6 |  2000/ 2826 batches | lr 20.00 | ms/batch 248.98 | loss  4.31 | ppl    74.42
| epoch   6 |  2100/ 2826 batches | lr 20.00 | ms/batch 264.98 | loss  4.31 | ppl    74.41
| epoch   6 |  2200/ 2826 batches | lr 20.00 | ms/batch 257.80 | loss  4.28 | ppl    72.48
| epoch   6 |  2300/ 2826 batches | lr 20.00 | ms/batch 228.38 | loss  4.34 | ppl    76.76
| epoch   6 |  2400/ 2826 batches | lr 20.00 | ms/batch 271.18 | loss  4.34 | ppl    76.82
| epoch   6 |  2500/ 2826 batches | lr 20.00 | ms/batch 255.91 | loss  4.32 | ppl    74.83
| epoch   6 |  2600/ 2826 batches | lr 20.00 | ms/batch 222.32 | loss  4.33 | ppl    75.64
| epoch   6 |  2700/ 2826 batches | lr 20.00 | ms/batch 309.73 | loss  4.35 | ppl    77.15
| epoch   6 |  2800/ 2826 batches | lr 20.00 | ms/batch 224.02 | loss  4.34 | ppl    76.43
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 682.22s | valid loss  4.17 | valid ppl    64.53
-----------------------------------------------------------------------------------------
| epoch   7 |   100/ 2826 batches | lr 20.00 | ms/batch 296.83 | loss  4.37 | ppl    78.82
| epoch   7 |   200/ 2826 batches | lr 20.00 | ms/batch 259.85 | loss  4.31 | ppl    74.36
| epoch   7 |   300/ 2826 batches | lr 20.00 | ms/batch 256.86 | loss  4.28 | ppl    71.97
| epoch   7 |   400/ 2826 batches | lr 20.00 | ms/batch 230.50 | loss  4.34 | ppl    76.54
| epoch   7 |   500/ 2826 batches | lr 20.00 | ms/batch 317.63 | loss  4.31 | ppl    74.39
| epoch   7 |   600/ 2826 batches | lr 20.00 | ms/batch 282.91 | loss  4.31 | ppl    74.59
| epoch   7 |   700/ 2826 batches | lr 20.00 | ms/batch 286.76 | loss  4.26 | ppl    70.68
| epoch   7 |   800/ 2826 batches | lr 20.00 | ms/batch 291.36 | loss  4.30 | ppl    73.77
| epoch   7 |   900/ 2826 batches | lr 20.00 | ms/batch 243.16 | loss  4.30 | ppl    73.72
| epoch   7 |  1000/ 2826 batches | lr 20.00 | ms/batch 218.09 | loss  4.33 | ppl    76.27
| epoch   7 |  1100/ 2826 batches | lr 20.00 | ms/batch 217.96 | loss  4.32 | ppl    74.97
